Taxonomy,Field,sub-field
Social and Behavioral Sciences,Communication Sciences,"['Broadcast/Video Studies', 'Communication Neuroscience', 'Communication Technology and New Media', 'Critical and Cultural Studies', 'Gender, Race, Sexuality, and Ethnicity in Communication', 'Health Communication', 'International and Intercultural Communication', 'Interpersonal/Small Group Communication', 'Journalism Studies', 'Mass Communication', 'Organizational Communication', 'Public Relations/Advertising', 'Social Influence and Political Communication', 'Speech and Rhetorical Studies']"
Social and Behavioral Sciences,Economics,"['Behavioral Economics', 'Business Administration', 'Econometrics', 'Economic History', 'Economic Policy, Applied Economics', 'Economic Theory', 'Growth and Development', 'Industrial Organization', 'International Economics', 'Labor Economics', 'Macroeconomics', 'Public Economics', 'Quantitative Finance']"
Social and Behavioral Sciences,Geography,"['Geographic Information Sciences', 'Human Geography', 'Nature and Society Relations', 'Physical and Environmental Geography']"
Social and Behavioral Sciences,Jurisprudence,"['Criminal Law', 'Criminology', 'Principles of Law and Jurisprudence', 'Private Law', 'Public Law']"
Social and Behavioral Sciences,Linguistics,"['Anthropological Linguistics/Sociolinguistics', 'Applied Linguistics', 'Comparative and Historical Linguistics', 'Computational Linguistics', 'Discourse/Text Linguistics', 'First/Second Language Acquisition', 'Individual Linguistics', 'Language Description/Documentation', 'Morphology', 'Phonetics/Phonology', 'Psycholinguistics/Neurolinguistics', 'Semantics/Pragmatics', 'Syntax', 'Typological Linguistics and Linguistic Diversity']"
Social and Behavioral Sciences,Political Science,"['American Politics', 'Comparative Politics', 'International Relations', 'Models and Methods', 'Political Theory']"
Social and Behavioral Sciences,Psychology,"['Biological Psychology', 'Cognition and Perception', 'Cognitive Psychology', 'Community Psychology', 'Developmental Psychology', 'Developmental and Educational Psychology', 'Differential, Clinical and Medical Psychology, Methodology', 'General, Cognitive and Mathematical Psychology', 'Health Psychology', 'Industrial and Organizational Psychology', 'Personality and Social Contexts', 'Social Psychology']"
Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration","['Public Administration', 'Public Affairs', 'Public Policy', 'Urban Studies']"
Social and Behavioral Sciences,Science and Technology Studies,[]
Social and Behavioral Sciences,Social Sciences,"['Empirical Social Research', 'Sociological Theory']"
Social and Behavioral Sciences,Social and Cultural Anthropology and Ethnology,"['African Studies', 'American Studies', 'Archaeological', 'Asian Studies', 'Biological and Physical', 'Islamic Studies, Arabian Studies, Semitic Studies', 'Linguistic Anthropology', 'Oceania Studies', 'Religious Studies and Jewish Studies', 'Social and Cultural']"
Social and Behavioral Sciences,Sociology,"['Demography, Population, and Ecology', 'Family, Life Course, and Society', 'Gender and Sexuality', 'Inequality and Stratification', 'Medicine and Health', 'Methodologies: Quantitative, Qualitative, Comparative, and Historical', 'Physics and Society', 'Place and Environment', 'Politics and Social Change', 'Race and Ethnicity', 'Regional Sociology', 'Rural Sociology', 'Social Control, Law, Crime, and Deviance', 'Social Psychology and Interaction', 'Sociology of Culture', 'Theory, Knowledge and Science', 'Work, Economy and Organizations']"
Social and Behavioral Sciences,Urban Studies and Planning,[]
Life Sciences,"Agriculture, Forestry and Veterinary Medicine",[]
Life Sciences,Animal Sciences,"['Animal Sciences', 'Aquaculture and Fisheries', 'Dairy Science', 'Poultry (or Avian) Science', 'Zoology']"
Life Sciences,"Biochemistry, Biophysics, and Structural Biology","['Biochemistry', 'Biogeochemistry', 'Biophysics', 'Molecular Biology', 'Structural Biology']"
Life Sciences,Bioinformatics,[]
Life Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences,"['Biomechanics', 'Exercise Physiology', 'Motor Control', 'Other Quantitative Biology', 'Psychology of Movement', 'Quantitative Methods']"
Life Sciences,Biotechnology,[]
